temperature,humidity,rainfall,soil_moisture,plant_age_days,light_intensity,crop_type,risk_level
23.4,70.9,7.9,65.4,170,64.5,soybean,Low
29.7,63.7,7.1,80.9,58,56.7,cotton,Low
29.5,89.6,14.1,85.3,170,47.5,rice,Medium
30.8,34.1,2.8,76.7,85,67.3,rice,Low
24.4,56.0,7.6,65.0,165,57.2,chili,Low
24.0,69.2,1.3,51.0,127,72.6,soybean,Low
23.5,51.9,3.5,67.8,179,57.5,rice,Low
31.0,57.9,8.7,93.8,179,72.5,onion,Medium
15.9,66.1,0.2,44.5,148,81.6,soybean,Low
36.9,29.7,0.4,35.3,88,100.0,tomato,Low
17.9,57.3,4.0,54.4,128,63.5,chili,Low
27.0,61.4,5.3,67.4,159,81.6,rice,Low
28.8,94.7,10.3,80.3,115,58.2,chili,Low
30.6,77.4,3.4,21.8,53,55.1,wheat,Medium
9.8,60.5,3.0,37.4,15,80.6,rice,Low
26.2,76.7,14.3,82.1,167,53.9,rice,Medium
24.6,66.2,0.5,65.7,31,65.7,sugarcane,Low
40.2,34.4,0.9,31.7,99,81.5,tomato,Low
9.9,68.6,1.5,32.2,46,52.0,tomato,Low
15.8,49.2,2.3,56.2,98,78.6,wheat,Low
32.2,85.1,22.0,73.3,107,24.1,sugarcane,High
27.1,75.4,9.0,92.9,30,36.1,cotton,High
23.3,50.2,2.6,49.1,83,49.8,cotton,Low
31.2,67.6,7.8,83.0,150,41.6,potato,Low
29.7,91.1,32.6,60.2,117,41.5,wheat,High
28.9,85.5,13.4,84.7,155,51.0,potato,Medium
25.5,83.1,21.0,85.5,144,18.2,chili,Critical
11.5,60.9,4.1,63.1,20,47.8,soybean,Low
24.8,78.5,27.0,63.0,113,16.2,chili,Critical
25.6,48.3,1.2,56.6,54,62.3,wheat,Low
28.5,75.5,2.5,68.0,30,59.3,chili,Medium
13.2,72.4,2.9,66.1,116,72.3,onion,Low
28.2,82.2,14.5,77.1,120,63.8,wheat,Medium
30.2,72.6,6.7,74.2,118,54.9,cotton,Low
30.2,34.7,1.8,40.0,84,54.9,potato,Low
35.3,24.8,0.8,76.4,14,63.2,rice,Low
25.8,76.3,8.9,94.5,45,80.3,tomato,Critical
22.7,65.8,1.6,47.2,52,43.2,cotton,Low
25.6,74.7,6.2,83.5,162,81.3,wheat,Low
12.9,56.9,0.3,60.2,76,53.9,tomato,Low
26.3,57.0,3.8,58.3,24,67.7,cotton,Low
42.7,34.1,1.3,66.7,127,88.1,potato,Low
25.2,79.0,35.2,67.0,114,33.1,soybean,High
19.7,40.7,3.7,52.8,104,71.3,onion,Low
36.7,48.3,1.0,43.5,155,70.4,maize,Low
24.6,89.7,36.3,71.6,36,14.3,chili,High
39.0,30.4,0.7,77.5,19,92.6,wheat,Medium
19.7,51.0,3.6,75.8,78,58.7,rice,Low
29.1,89.5,20.8,75.9,94,26.8,sugarcane,High
28.8,87.5,26.3,90.3,175,28.3,wheat,Critical
29.2,86.7,34.3,67.9,12,31.2,wheat,High
18.8,41.6,4.3,35.8,11,48.7,rice,Low
29.5,69.4,7.4,81.9,101,58.9,cotton,Low
26.8,68.7,10.9,62.5,40,56.6,sugarcane,Low
15.4,59.7,1.0,70.4,19,72.4,chili,Low
31.2,84.5,16.1,95.0,10,38.1,tomato,High
30.9,22.8,0.9,64.6,102,70.7,cotton,Low
32.2,83.5,30.7,87.0,75,18.5,chili,High
30.3,25.1,1.7,36.1,20,85.6,onion,Low
28.2,86.0,36.6,72.3,110,10.0,rice,High
24.4,48.8,4.8,21.7,28,42.8,chili,Medium
41.4,32.9,0.5,67.4,107,100.0,rice,Low
14.7,41.9,4.2,42.0,178,58.5,tomato,Low
14.9,44.4,0.0,45.5,136,83.9,wheat,Low
25.0,74.0,9.9,60.7,27,65.5,maize,Medium
22.1,62.8,3.6,49.6,178,41.1,cotton,Low
29.2,69.3,3.2,63.1,170,66.8,onion,Low
40.7,32.1,0.0,56.0,27,67.1,sugarcane,High
23.9,75.6,5.0,42.8,102,47.4,rice,Low
13.9,49.1,0.0,46.6,136,45.9,rice,Low
27.6,70.7,8.4,68.1,51,50.0,cotton,Low
24.1,70.0,3.3,34.6,50,67.8,chili,Low
13.8,55.3,4.7,31.1,157,47.5,chili,Low
28.3,90.7,32.1,66.7,14,24.3,potato,Critical
34.4,26.8,1.0,58.6,89,78.0,chili,Low
10.7,58.4,8.1,77.7,20,72.6,tomato,Low
23.3,69.1,11.1,84.1,80,67.0,rice,Low
32.6,87.1,23.0,80.5,75,21.0,potato,High
12.9,70.4,1.8,20.9,131,67.0,soybean,Medium
25.5,71.6,5.5,63.6,30,59.6,cotton,Low
29.1,83.5,22.2,93.4,13,36.8,onion,Critical
28.3,26.9,2.2,30.5,122,55.6,wheat,Low
30.0,92.8,23.9,92.8,172,8.1,potato,Critical
39.9,22.2,2.7,23.8,56,76.9,rice,Low
25.8,66.1,8.9,82.4,166,48.4,onion,Low
32.7,83.2,30.6,61.4,56,37.7,rice,Medium
19.9,72.4,4.1,79.2,160,55.7,cotton,Low
29.2,94.5,34.8,63.6,100,25.5,rice,Critical
24.7,63.7,0.7,26.3,62,48.1,onion,Low
22.9,76.3,16.1,90.7,152,17.6,sugarcane,High
36.9,32.3,1.1,22.1,81,62.0,tomato,Medium
28.2,73.5,10.4,76.1,108,36.6,rice,Low
27.8,59.6,8.2,84.4,107,48.7,wheat,Low
29.3,38.5,0.5,51.1,167,76.1,chili,Low
33.6,89.5,19.1,81.0,95,12.6,onion,Low
28.3,93.4,31.7,71.5,151,6.9,sugarcane,Critical
40.3,41.9,2.3,71.3,146,76.7,cotton,Low
29.7,43.3,0.7,63.5,80,77.7,maize,Low
35.7,38.4,0.0,76.4,112,59.7,tomato,Medium
8.7,60.6,2.9,66.3,172,64.3,tomato,Low
29.6,74.4,15.1,73.6,24,13.5,tomato,Medium
33.9,21.0,0.8,58.8,124,82.4,soybean,Medium
32.5,83.0,15.0,92.9,131,52.5,potato,Medium
23.4,61.6,5.9,64.7,92,61.1,maize,Low
41.2,30.9,0.9,53.1,59,79.2,potato,Medium
25.2,69.2,2.4,62.0,174,62.6,tomato,Low
21.2,84.5,27.0,71.8,72,19.4,chili,Critical
26.8,77.3,5.4,86.0,106,69.5,onion,High
39.6,39.6,2.1,45.4,168,100.0,onion,Medium
29.2,30.0,0.6,72.6,91,74.5,onion,Low
23.1,84.7,28.1,83.2,176,32.0,rice,High
34.9,34.1,1.5,21.3,15,92.8,chili,High
34.3,85.7,11.8,71.4,136,31.6,onion,Low
34.0,34.5,3.4,24.8,109,88.1,soybean,Medium
43.5,33.5,0.0,40.4,152,100.0,maize,Low
32.6,36.9,1.5,34.8,142,80.2,onion,Low
41.6,37.9,1.8,46.2,67,58.9,sugarcane,Medium
14.7,76.2,2.6,60.6,70,48.4,soybean,Low
27.6,75.9,5.1,78.0,14,61.0,cotton,High
16.4,58.3,2.5,60.4,23,46.0,chili,Low
23.3,66.6,2.6,74.4,171,65.8,onion,Low
28.9,33.5,2.4,64.6,111,97.7,chili,Low
28.1,85.4,26.2,91.6,137,14.7,chili,Critical
15.0,60.0,1.2,76.3,89,68.2,soybean,Low
26.5,75.2,3.4,68.2,49,49.9,onion,High
33.2,26.7,3.0,74.9,123,99.9,potato,Medium
31.8,79.3,38.6,93.0,88,16.0,tomato,Critical
25.6,72.8,3.6,72.8,45,50.4,sugarcane,Low
22.9,65.0,9.7,85.8,16,69.7,chili,Medium
27.3,73.6,8.4,68.0,30,54.6,rice,Low
13.8,68.2,5.9,71.5,114,36.3,chili,Low
15.3,48.1,5.5,77.9,101,48.9,sugarcane,Low
28.6,78.4,7.3,63.0,101,68.6,sugarcane,Medium
13.2,51.0,2.0,24.2,89,76.8,sugarcane,Low
29.0,48.5,1.1,67.2,86,76.9,soybean,Low
26.8,85.5,24.1,79.2,51,16.8,chili,High
35.4,23.9,0.0,78.2,6,86.3,onion,Low
26.2,84.4,26.4,62.3,20,28.9,soybean,Critical
25.7,71.2,8.9,77.8,76,61.4,cotton,Low
16.0,51.4,1.9,40.9,177,71.0,wheat,Low
26.0,84.5,25.1,82.7,126,15.6,chili,High
33.2,84.9,26.3,92.1,75,31.2,maize,High
32.8,23.6,0.0,25.3,19,77.8,onion,High
26.3,76.5,3.1,63.4,48,66.2,potato,Medium
22.9,51.3,4.1,30.9,32,41.3,maize,Low
12.8,70.8,0.4,45.5,174,53.9,maize,Low
20.8,53.3,0.8,25.2,22,47.5,onion,Low
24.4,75.1,8.6,67.1,132,62.0,potato,Medium
33.9,32.0,3.7,72.4,53,100.0,rice,Low
27.7,67.3,1.7,44.3,106,72.0,chili,Low
27.7,69.5,8.9,87.0,123,58.9,potato,Low
41.6,32.1,0.5,32.5,141,62.7,rice,Low
25.8,79.4,8.7,61.8,52,58.5,rice,Low
29.4,76.9,6.3,63.0,8,58.2,rice,High
27.5,79.2,20.3,63.7,151,19.7,onion,High
33.0,26.6,0.4,55.8,127,96.4,cotton,Medium
30.8,36.1,1.4,73.6,92,93.1,chili,Low
32.2,81.8,33.1,79.4,59,20.5,cotton,High
20.6,47.3,3.0,27.5,35,73.3,potato,Low
19.3,56.7,2.5,64.7,148,51.1,tomato,Low
34.5,22.4,0.0,54.1,39,97.0,rice,Medium
31.3,41.5,2.9,34.9,130,79.9,onion,Low
23.3,74.8,6.2,66.1,51,57.9,maize,Low
30.8,22.9,1.6,46.2,125,97.5,rice,Low
34.5,90.0,13.7,86.8,158,48.1,sugarcane,Medium
39.7,36.7,1.9,75.4,33,81.3,potato,Low
37.2,39.9,2.4,55.2,128,67.6,cotton,Medium
30.1,80.5,29.7,79.2,87,20.7,cotton,High
25.2,69.2,5.9,83.5,60,55.6,potato,Low
12.4,51.2,1.9,68.7,63,70.5,rice,Low
37.0,38.7,1.5,40.2,139,62.1,maize,Low
22.2,70.3,5.4,91.7,170,62.9,chili,Low
27.9,88.7,38.3,62.4,72,18.5,chili,Critical
27.2,72.9,3.5,61.3,96,56.5,maize,Low
18.5,70.6,1.7,31.3,28,52.2,cotton,Medium
26.3,82.0,24.0,67.5,12,24.8,rice,Critical
24.2,64.9,2.7,29.0,83,44.7,soybean,Low
31.1,37.9,0.0,32.6,88,79.1,chili,Low
24.3,41.4,2.4,47.5,128,65.7,soybean,Low
27.0,69.6,7.3,87.3,78,68.3,rice,Medium
11.1,46.5,3.2,77.5,44,47.1,sugarcane,Low
39.3,30.3,0.0,63.9,22,80.0,soybean,Medium
23.0,78.1,7.3,70.0,71,52.8,rice,Low
26.2,75.3,19.7,85.7,51,35.2,maize,Medium
20.5,63.1,1.2,34.1,137,45.7,wheat,Low
26.9,84.4,19.8,71.2,54,9.1,soybean,Medium
19.8,57.3,5.0,40.4,39,70.5,wheat,Low
27.1,63.8,6.4,82.5,86,65.4,soybean,Low
40.1,19.0,0.0,59.2,162,79.3,cotton,Medium
38.2,40.2,1.8,54.4,16,87.4,sugarcane,Low
24.8,60.1,10.6,89.8,100,55.5,potato,Low
23.9,68.9,7.8,86.9,46,63.5,wheat,Medium
28.3,73.8,31.1,67.1,113,27.6,rice,High
27.2,78.2,7.8,93.3,91,61.6,potato,Medium
19.7,64.2,2.5,27.2,159,77.3,tomato,Low
25.4,85.7,16.5,91.6,97,32.8,tomato,Medium
20.9,64.5,1.1,59.2,101,65.3,onion,Low
27.1,88.4,23.6,81.2,105,16.1,chili,High
40.3,30.5,1.3,58.6,125,67.1,wheat,Medium
30.6,83.2,39.3,90.5,40,35.9,chili,High
24.8,77.3,17.3,77.0,115,39.4,chili,Medium
10.6,37.4,2.0,20.4,7,78.6,soybean,Low
30.4,29.8,1.9,21.0,45,87.0,soybean,Low
21.5,51.8,3.5,51.7,102,62.3,onion,Low
12.1,58.6,1.1,63.5,11,48.6,cotton,Low
21.3,67.4,4.0,39.1,86,59.5,soybean,Low
29.1,81.3,10.8,91.3,90,31.9,maize,High
22.2,77.0,4.0,43.4,105,62.6,cotton,Medium
26.3,79.5,34.1,78.8,131,28.2,soybean,High
28.2,92.6,9.8,78.1,56,38.7,potato,Medium
39.8,19.2,0.0,32.5,13,71.1,onion,Medium
38.2,37.1,0.2,69.5,14,74.0,tomato,Medium
17.7,65.7,1.8,57.8,110,61.0,tomato,Low
43.2,36.4,1.7,65.8,159,94.5,sugarcane,Low
25.8,88.9,24.1,70.0,12,11.4,tomato,High
29.1,63.9,5.1,72.0,102,63.8,onion,Low
25.9,87.9,42.4,72.1,57,30.2,potato,High
26.0,78.0,31.3,84.7,165,20.9,wheat,High
35.6,38.2,2.7,74.5,173,87.5,maize,Low
30.5,98.3,14.1,64.0,159,30.7,onion,Medium
26.2,75.5,8.3,82.2,98,75.0,potato,Medium
19.6,66.0,2.8,68.3,16,74.5,potato,Medium
20.7,60.7,6.3,60.0,62,69.4,soybean,Low
37.8,27.7,1.1,68.4,42,94.7,wheat,Low
34.8,18.8,0.4,47.4,26,55.1,chili,Medium
18.1,36.9,5.7,89.6,148,62.8,chili,Low
21.3,64.4,1.9,47.2,110,67.5,maize,Low
30.5,83.0,27.0,63.7,45,36.2,soybean,High
15.7,58.6,0.7,71.9,164,69.0,onion,Low
34.3,47.0,0.7,67.5,38,94.0,cotton,Low
31.8,33.6,1.6,56.1,70,66.4,cotton,Low
36.3,32.8,0.4,69.7,148,72.8,cotton,Low
33.4,89.9,15.6,83.6,26,24.8,chili,High
40.1,30.8,2.5,55.9,105,71.5,sugarcane,Low
27.5,92.9,17.7,62.9,25,27.2,tomato,High
9.2,57.9,1.5,57.3,55,65.4,chili,Low
23.2,81.4,6.9,88.3,165,42.7,maize,High
9.7,56.3,4.5,41.7,115,64.7,cotton,Low
39.7,40.1,0.9,77.5,34,77.5,maize,Low
40.7,45.8,1.7,45.9,67,81.7,rice,Low
25.6,43.5,2.0,66.7,38,72.8,chili,Low
24.6,96.5,32.1,60.3,115,21.9,tomato,Critical
10.4,64.2,3.2,27.0,99,72.5,maize,Low
30.6,25.3,0.0,38.8,42,71.3,wheat,Low
39.2,40.6,0.0,50.6,38,89.9,rice,Low
22.1,77.2,9.5,87.1,26,48.8,sugarcane,High
23.0,82.0,3.5,26.3,39,60.4,maize,High
17.1,64.0,3.2,74.5,72,67.6,sugarcane,Low
23.7,71.3,8.7,93.6,156,64.1,sugarcane,Medium
25.7,61.1,4.5,75.3,73,57.4,soybean,Low
22.1,66.0,9.1,92.3,115,56.0,potato,Medium
27.0,88.8,38.4,88.4,65,11.8,onion,High
29.2,84.1,38.3,78.7,100,23.9,cotton,High
28.0,83.6,32.3,83.3,124,36.0,soybean,High
28.3,82.8,15.3,80.2,59,15.6,sugarcane,Medium
11.4,53.9,3.1,22.2,74,51.9,chili,Low
29.2,77.5,40.3,67.0,128,25.9,maize,Medium
25.6,80.0,24.4,60.4,27,31.7,rice,High
27.1,23.6,1.7,74.5,158,77.0,cotton,Low
21.2,42.6,4.9,75.1,41,75.7,soybean,Low
33.4,33.8,1.8,32.8,146,64.2,onion,Low
29.1,27.9,0.0,60.4,26,87.3,cotton,Low
29.3,90.5,21.3,68.8,49,9.1,chili,High
23.2,75.0,4.3,53.6,47,76.9,onion,Low
31.1,32.8,2.3,20.7,81,71.2,potato,Low
29.7,88.0,15.5,71.7,59,38.3,potato,Low
22.3,90.8,11.8,80.7,114,31.5,soybean,Medium
31.7,19.7,0.0,62.7,120,73.4,wheat,Low
29.4,76.1,27.1,71.6,152,25.1,maize,Critical
44.6,48.5,0.0,69.3,131,96.7,tomato,Low
32.2,94.2,12.3,66.8,109,39.5,tomato,Low
36.8,34.4,0.0,53.6,78,96.8,soybean,Low
27.1,66.7,6.7,76.7,125,72.0,cotton,Low
22.8,52.6,2.9,67.9,30,65.9,tomato,Low
30.5,96.6,25.3,93.3,109,34.0,rice,Critical
39.7,28.6,0.0,58.4,153,85.3,rice,Medium
41.9,25.0,1.3,59.8,42,64.6,wheat,Low
22.7,61.9,9.9,64.9,35,70.1,cotton,Low
16.8,71.7,3.3,27.8,147,38.3,wheat,Medium
12.9,64.7,6.5,72.5,173,47.4,wheat,Low
31.2,80.6,21.8,79.2,152,14.7,soybean,Critical
27.3,65.6,8.7,79.5,118,50.9,onion,Low
29.1,83.1,12.0,77.5,143,44.7,maize,Medium
11.4,59.0,0.9,29.9,160,73.5,potato,Low
24.9,66.3,7.2,94.6,114,73.4,rice,Low
27.2,77.2,28.1,70.8,104,29.2,onion,High
32.8,31.8,1.9,69.7,48,56.7,potato,Low
43.3,14.8,1.8,44.9,140,83.6,wheat,Low
17.9,45.3,3.5,20.4,48,53.6,rice,Low
26.8,83.9,17.8,70.3,52,36.0,soybean,Medium
14.4,41.5,1.0,52.9,9,41.2,onion,Low
28.1,75.6,27.1,61.8,35,28.2,rice,High
28.9,77.9,2.8,70.9,44,81.4,maize,Low
16.2,56.7,2.4,61.4,13,73.9,onion,Low
13.9,60.0,2.4,27.0,78,38.7,tomato,Low
30.9,88.7,19.9,85.7,65,15.6,soybean,Medium
38.4,41.4,2.2,54.7,67,94.9,chili,Low
31.5,26.0,1.7,34.1,99,87.8,onion,Low
29.8,69.3,5.2,90.6,131,68.0,cotton,Medium
13.5,47.7,0.0,62.9,31,55.1,tomato,Low
33.8,28.0,1.1,35.7,177,76.2,sugarcane,Low
38.9,31.1,1.8,22.5,105,99.0,wheat,Medium
46.4,30.5,0.1,58.7,74,66.6,sugarcane,Medium
40.2,36.2,1.7,67.7,58,64.1,potato,Medium
43.4,35.7,3.0,21.6,69,96.1,onion,Medium
41.7,25.0,2.0,46.3,137,88.4,cotton,Medium
12.6,56.2,0.2,24.8,74,54.0,potato,Low
31.4,88.4,25.1,93.2,95,25.2,onion,Critical
42.7,28.2,2.4,58.6,86,82.7,potato,Low
12.3,65.4,1.6,57.9,166,43.8,soybean,Low
32.7,47.4,2.5,52.4,5,69.6,tomato,Low
31.7,88.2,26.6,89.7,175,41.6,tomato,High
10.8,45.4,5.7,92.0,125,62.9,potato,Low
23.4,57.4,8.8,90.1,47,53.6,maize,Low
29.4,68.6,8.6,77.3,24,74.3,tomato,Medium
27.8,91.7,36.8,73.4,151,33.9,cotton,High
29.8,73.7,33.2,83.7,115,21.5,rice,Medium
28.0,74.9,6.4,82.0,55,77.5,soybean,Low
34.1,27.9,1.7,47.9,35,81.5,rice,Low
22.0,40.8,0.3,68.2,93,69.1,rice,Low
13.0,68.7,3.8,56.9,150,80.2,rice,Low
21.1,64.6,3.6,22.6,69,58.6,rice,Low
19.6,48.3,0.1,68.9,7,60.7,chili,Low
33.1,28.4,2.2,27.0,116,81.0,sugarcane,Medium
12.0,45.2,1.6,36.9,49,49.6,sugarcane,Low
29.1,72.9,15.2,82.1,83,17.2,potato,Medium
41.8,42.2,0.9,22.1,20,90.5,wheat,Low
29.4,27.0,2.2,72.9,41,91.9,rice,Low
33.0,97.7,29.6,94.2,21,28.2,onion,Critical
31.2,18.7,2.7,72.3,70,52.3,cotton,Low
29.7,87.7,24.1,65.1,160,20.0,rice,High
36.2,23.6,1.5,67.5,171,92.8,potato,Medium
43.0,18.5,0.0,77.7,48,68.9,tomato,Low
31.2,92.5,27.1,73.1,148,30.3,sugarcane,High
37.3,31.1,0.7,42.2,9,74.9,chili,Medium
29.4,74.6,28.9,94.9,13,27.1,wheat,Critical
27.5,63.7,7.9,65.8,63,53.5,cotton,Low
25.8,71.1,13.3,68.2,31,57.9,potato,Low
27.9,48.3,0.0,49.0,52,72.5,chili,Low
24.4,70.2,7.5,91.8,53,59.1,rice,Medium
26.6,92.9,21.2,68.2,77,29.3,maize,High
12.4,56.9,1.1,65.8,73,73.7,soybean,Low
18.9,50.7,1.2,79.1,80,49.5,sugarcane,Low
28.4,78.2,20.2,74.8,44,25.0,soybean,High
37.3,25.4,2.1,79.8,45,78.8,wheat,Medium
24.1,65.1,5.9,77.9,74,59.8,maize,Low
30.7,20.8,3.0,37.1,63,85.0,soybean,Low
18.6,38.0,5.7,70.2,60,63.0,potato,Low
22.9,64.4,3.5,53.1,66,43.4,chili,Low
16.1,63.1,1.3,28.3,133,59.8,rice,Low
14.3,53.0,4.3,56.1,170,41.0,sugarcane,Low
19.4,64.2,1.6,62.5,76,63.5,rice,Low
30.4,40.1,1.3,69.5,80,63.7,maize,Low
18.9,41.7,3.5,57.4,130,77.5,onion,Low
32.5,43.1,2.5,61.1,34,67.2,onion,Low
26.4,80.4,37.3,85.5,155,42.9,chili,High
33.7,20.7,0.6,33.0,161,67.3,potato,Low
15.0,68.2,3.5,29.6,107,56.0,cotton,Low
25.0,62.9,7.3,82.9,132,62.4,soybean,Low
26.3,75.0,2.9,24.0,8,54.6,wheat,Medium
29.7,76.8,5.3,88.8,120,50.5,potato,High
28.8,65.3,6.3,71.0,33,55.8,soybean,Low
10.0,65.8,4.3,21.1,60,73.4,tomato,Medium
22.7,69.5,7.2,70.9,133,54.7,tomato,Low
24.3,75.2,6.9,78.2,145,68.6,cotton,Medium
29.8,90.5,22.5,68.1,115,13.7,onion,High
17.4,60.3,4.5,70.3,30,55.0,chili,Low
28.5,59.9,6.4,90.8,42,69.1,wheat,Low
36.3,39.2,1.0,20.6,168,76.3,onion,Medium
26.1,89.2,22.9,81.1,43,27.1,cotton,High
37.3,17.8,0.0,74.3,32,63.3,onion,Low
24.3,66.5,2.1,23.7,145,54.7,wheat,Medium
24.8,75.7,17.2,84.3,110,22.6,tomato,High
16.1,41.5,0.3,38.8,109,83.8,rice,Low
35.3,35.5,1.0,44.6,162,86.4,chili,Low
22.3,39.2,2.8,64.3,82,65.0,rice,Low
42.2,37.9,0.4,71.9,89,78.4,wheat,Low
39.0,29.6,1.2,61.3,146,89.6,soybean,Medium
34.0,33.3,0.8,61.2,172,63.0,sugarcane,Low
29.3,88.2,17.4,84.5,21,26.2,cotton,High
10.7,46.3,1.7,48.0,66,40.7,onion,Low
30.4,90.1,41.0,84.8,100,6.3,wheat,High
20.5,45.1,3.4,72.6,52,50.5,wheat,Low
24.6,75.6,15.1,74.7,136,31.0,tomato,Low
20.6,71.7,2.3,75.6,50,55.2,sugarcane,Low
8.4,57.7,3.9,55.0,106,70.6,sugarcane,Low
26.9,60.0,4.8,65.9,106,53.8,soybean,Low
28.3,78.4,10.6,81.8,16,65.4,cotton,High
21.8,63.2,4.7,40.6,110,70.5,onion,Low
26.1,75.4,3.0,46.9,105,58.2,soybean,Low
19.5,44.2,2.9,36.1,13,73.3,wheat,Low
23.0,81.8,27.2,82.3,151,40.2,cotton,Medium
26.1,92.1,32.5,80.0,106,24.3,rice,Critical
23.2,43.5,1.0,49.0,149,46.5,maize,Low
30.5,78.5,4.6,33.7,60,70.9,onion,Medium
26.0,51.3,7.2,70.8,146,57.1,onion,Low
25.5,76.6,9.5,78.9,169,62.8,sugarcane,Low
24.6,82.2,33.9,94.3,27,17.1,soybean,Critical
20.4,49.6,4.9,54.9,117,60.9,chili,Low
29.6,83.7,11.0,91.3,74,22.5,cotton,Critical
25.0,81.4,22.1,60.9,120,18.3,cotton,Critical
31.8,79.9,9.0,63.3,120,74.5,potato,Medium
41.3,40.4,0.0,65.1,44,71.7,rice,Low
24.5,55.5,8.8,70.0,30,52.5,sugarcane,Low
28.5,73.5,1.7,69.3,163,61.4,tomato,Medium
28.8,89.3,24.6,81.3,160,16.3,cotton,High
39.0,38.1,0.0,55.3,110,81.3,sugarcane,Low
37.3,27.4,0.0,67.6,163,85.8,soybean,Low
30.3,79.6,12.2,84.4,60,36.7,chili,Medium
25.1,77.6,6.1,81.1,166,64.2,wheat,Medium
26.6,99.2,9.6,70.9,128,32.1,potato,Medium
37.7,39.4,1.3,70.2,142,77.9,maize,Medium
30.4,74.5,6.2,88.2,25,54.5,cotton,Medium
26.1,77.3,7.7,74.1,177,70.6,cotton,Medium
26.9,58.1,1.5,58.4,17,64.7,maize,Low
28.9,93.2,26.1,66.7,7,27.7,potato,Critical
25.7,56.7,5.3,67.2,168,73.7,wheat,Low
31.0,82.9,24.8,74.1,104,6.7,soybean,Critical
25.0,74.0,10.8,81.9,121,27.7,cotton,Low
20.7,65.1,1.1,47.1,26,59.4,potato,Medium
27.8,58.5,5.0,68.7,114,74.4,chili,Low
23.6,83.1,32.3,90.2,25,19.5,wheat,Critical
24.8,62.8,10.1,77.1,150,55.9,rice,Low
23.0,62.8,3.4,49.4,134,64.9,sugarcane,Low
13.0,52.1,1.9,59.1,55,67.3,potato,Low
34.1,31.9,1.6,65.7,118,79.1,soybean,Low
25.8,81.8,29.9,61.6,149,17.5,chili,High
25.2,71.7,1.9,65.4,45,71.3,wheat,Low
33.4,38.8,1.2,65.3,142,67.3,potato,Medium
22.9,69.4,4.9,47.1,110,58.6,potato,Low
26.3,63.4,6.3,62.9,32,74.3,tomato,Low
14.6,47.6,2.5,43.1,31,45.3,soybean,Low
38.1,27.6,2.0,73.1,96,85.2,onion,Low
26.4,79.2,6.0,92.3,44,47.6,rice,High
37.1,38.1,1.8,46.8,143,96.5,cotton,Medium
24.3,74.1,5.6,73.9,100,62.8,sugarcane,Medium
25.6,82.0,2.9,77.4,77,70.8,soybean,Medium
30.2,40.9,0.5,32.0,45,81.1,tomato,Low
39.6,23.7,1.9,60.4,86,80.0,onion,Medium
27.9,56.6,1.9,34.3,43,75.5,cotton,Low
32.8,30.6,2.0,66.2,161,89.4,sugarcane,Low
27.6,68.2,7.8,78.5,60,48.4,chili,Low
27.7,82.5,39.3,82.9,87,23.8,chili,Critical
24.7,66.8,8.6,78.0,97,54.1,sugarcane,Low
33.2,16.8,1.8,72.1,158,75.1,chili,Medium
25.4,58.8,2.8,69.1,114,57.2,wheat,Low
27.9,63.1,9.0,88.2,72,71.1,rice,Low
36.4,28.2,2.6,75.5,14,100.0,sugarcane,Medium
24.5,73.1,2.8,60.0,173,54.2,wheat,Low
32.4,41.2,1.8,23.5,117,100.0,onion,Low
30.2,18.3,0.5,57.9,100,78.5,maize,Low
29.7,76.4,9.9,73.4,133,85.1,tomato,Medium
21.2,47.0,4.5,47.0,145,73.0,tomato,Low
17.4,39.9,0.9,27.0,67,52.3,soybean,Low
28.7,75.1,3.3,53.9,25,68.7,rice,Medium
20.7,73.5,2.5,78.2,12,58.9,wheat,Low
25.6,82.8,8.8,80.4,100,62.0,chili,Medium
38.0,25.9,1.4,80.0,49,94.1,sugarcane,Low
27.1,72.8,18.5,60.9,114,20.2,rice,Low
30.0,60.0,5.2,94.0,47,70.2,potato,Low
23.6,97.8,14.6,63.2,127,32.9,chili,Medium
29.9,90.0,18.3,80.4,46,31.3,tomato,Medium
26.7,82.3,32.2,93.4,15,21.2,tomato,Critical
26.9,68.0,3.8,52.4,92,59.6,rice,Low
22.9,66.0,2.3,40.5,69,70.6,sugarcane,Low
27.4,74.0,4.5,25.0,26,81.2,wheat,Medium
27.9,78.5,28.3,73.1,85,18.6,maize,Critical
27.7,76.0,20.3,66.8,63,27.0,chili,High
21.0,61.9,1.9,68.2,48,60.4,cotton,Low
28.8,84.0,11.2,77.7,102,47.1,tomato,Low
30.9,81.2,38.9,65.2,69,41.9,tomato,High
23.4,45.3,2.0,23.7,160,78.6,soybean,Low
39.3,21.7,2.0,47.9,22,85.7,cotton,Medium
32.1,88.1,38.2,79.4,30,19.5,potato,Medium
21.4,54.2,6.9,79.3,19,61.8,potato,Low
26.1,58.4,6.9,85.9,34,55.6,onion,Low
28.4,68.6,8.1,75.6,98,61.8,tomato,Low
25.7,76.4,18.8,89.6,62,41.7,wheat,High
27.8,84.2,13.9,77.1,51,38.1,chili,Medium
21.9,51.6,1.7,26.1,86,53.4,wheat,Low
15.2,39.6,1.9,65.0,67,48.1,chili,Low
27.0,84.0,18.9,74.0,48,25.7,onion,High
24.4,88.3,36.8,76.0,14,12.9,cotton,Critical
34.6,28.5,1.1,49.4,15,100.0,sugarcane,Medium
